CountryName,CapitalName,CountryNameDutch,CapitalNameDutch
Romania,Bucharest,Roemenië,Boekarest
Russia,Moscow,Rusland,Moskou
Rwanda,Kigali,Rwanda,Kigali
Saint Barthelemy,Gustavia,Saint-Barthélemy,Gustavia
Saint Helena,Jamestown,Sint-Helena,Jamestown
Saint Kitts and Nevis,Basseterre,Saint Kitts en Nevis,Basseterre
Saint Lucia,Castries,Saint Lucia,Castries
Saint Martin,Marigot,Sint-Maarten,Marigot
Saint Pierre and Miquelon,Saint-Pierre,Saint Pierre en Miquelon,Saint-Pierre
Saint Vincent and the Grenadines,Kingstown,Saint Vincent en de Grenadines,Kingstown
Samoa,Apia,Samoa,Apia
San Marino,San Marino,San Marino,San Marino
Sao Tome and Principe,Sao Tome,Sao Tomé en Principe,Sao Tomé
Saudi Arabia,Riyadh,Saoedi-Arabië,Riyad
Senegal,Dakar,Senegal,Dakar
Serbia,Belgrade,Servië,Belgrado
Seychelles,Victoria,Seychellen,Victoria
Sierra Leone,Freetown,Sierra Leone,Freetown
Singapore,Singapore,Singapore,Singapore
Sint Maarten,Philipsburg,Sint-Maarten,Philipsburg
Slovakia,Bratislava,Slowakije,Bratislava
Slovenia,Ljubljana,Slovenië,Ljubljana
Solomon Islands,Honiara,Salomonseilanden,Honiara
Somalia,Mogadishu,Somalië,Mogadishu
Somaliland,Hargeisa,Somaliland,Hargeisa
South Africa,Pretoria,Zuid-Afrika,"Pretoria, Bloemfontein, Kaapstad"
South Georgia and South Sandwich Islands,King Edward Point,Zuid-Georgia en de Zuidelijke Sandwicheilanden,King Edward Point
South Korea,Seoul,Zuid-Korea,Seoel
South Sudan,Juba,Zuid-Soedan,Juba
Spain,Madrid,Spanje,Madrid
Sri Lanka,Colombo,Sri Lanka,Sri Jayewardenapura Kotte
Sudan,Khartoum,Soedan,Khartoem
Suriname,Paramaribo,Suriname,Paramaribo
Svalbard,Longyearbyen,Spitsbergen,Longyearbyen
Swaziland,Mbabane,Swaziland,"Lobamba, Mbabane"
Sweden,Stockholm,Zweden,Stockholm
Switzerland,Bern,Zwitserland,Bern
Syria,Damascus,Syrië,Damascus
Taiwan,Taipei,Taiwan,Taipei (de facto)
Tajikistan,Dushanbe,Tadzjikistan,Doesjanbe
Tanzania,Dar es Salaam,Tanzania,Dodoma
Thailand,Bangkok,Thailand,Bangkok
The Gambia,Banjul,Gambia,Banjul
Timor-Leste,Dili,Oost-Timor,Dili
Togo,Lome,Togo,Lomé
Tokelau,Atafu,Tokelau,Atafu
Tonga,Nuku'alofa,Tonga,Nuku'alofa
Trinidad and Tobago,Port of Spain,Trinidad en Tobago,Port of Spain
Tunisia,Tunis,Tunesië,Tunis
Turkey,Ankara,Turkije,Ankara
Turkmenistan,Ashgabat,Turkmenistan,Asjchabad
Turks and Caicos Islands,Cockburn Town,Turks- en Caicoseilanden,Cockburn Town
Tuvalu,Funafuti,Tuvalu,Funafuti
Uganda,Kampala,Oeganda,Kampala
Ukraine,Kyiv,Oekraïne,Kiev
United Arab Emirates,Abu Dhabi,Verenigde Arabische Emiraten,Abu Dhabi
United Kingdom,London,Verenigd Koninkrijk,Londen
United States,Washington D.C.,Verenigde Staten,Washington D.C.
Uruguay,Montevideo,Uruguay,Montevideo
US Minor Outlying Islands,Washington,Amerikaanse Kleinere Afgelegen Eilanden,Washington D.C.
US Virgin Islands,Charlotte Amalie,Amerikaanse Maagdeneilanden,Charlotte Amalie
Uzbekistan,Tashkent,Oezbekistan,Tasjkent
Vanuatu,Port-Vila,Vanuatu,Port Vila
Vatican City,Vatican City,Vaticaanstad,Vaticaanstad (Stadstaat)
Venezuela,Caracas,Venezuela,Caracas
Vietnam,Hanoi,Vietnam,Hanoi
Wallis and Futuna,Mata-Utu,Wallis en Futuna,Mata-Utu
Western Sahara,El-Aaiún,Westelijke Sahara,Al-Ajoen
Yemen,Sanaa,Jemen,Sanaa
Zambia,Lusaka,Zambia,Lusaka
Zimbabwe,Harare,Zimbabwe,Harare
